loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
55000,129,,54.071,>60%,475000,360,45-54,White,Male,Not Hispanic or Latino,3,0
285000,151,,75,30%-<36%,385000,360,35-44,Asian,Male,Hispanic or Latino,3,0
65000,363,,100.028,,765000,360,45-54,Joint,Joint,Not Hispanic or Latino,3,0
105000,59,,55.103,>60%,525000,480,45-54,White,Female,Hispanic or Latino,3,0
65000,242,,75.833,<20%,505000,180,35-44,Black or African American,Male,Ethnicity Not Available,3,0
765000,212,,89,50%-60%,855000,360,45-54,Asian,Female,Not Hispanic or Latino,3,0
55000,202,,100.787,20%-<30%,535000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
55000,105,,115.468,<20%,165000,180,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
25000,46,,86.814,>60%,365000,360,25-34,Race Not Available,Female,Hispanic or Latino,3,0
25000,57,,,<20%,,300,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
335000,118,,96.5,30%-<36%,345000,360,35-44,White,Female,Hispanic or Latino,3,0
155000,98,,62.3,50%-60%,1005000,360,>74,White,Joint,Not Hispanic or Latino,3,0
225000,60,,101.75,48,225000,360,<25,White,Male,Not Hispanic or Latino,3,0
35000,81,,8.651,20%-<30%,405000,180,55-64,White,Male,Not Hispanic or Latino,3,0
805000,87,,74.41,>60%,1075000,360,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
95000,62,,71.182,50%-60%,715000,240,65-74,White,Male,Not Hispanic or Latino,3,0
25000,40,,67.71,48,355000,300,>74,White,Female,Not Hispanic or Latino,3,0
295000,0,,58,<20%,505000,120,45-54,Race Not Available,Joint,Ethnicity Not Available,3,0
355000,114,,,49,,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
175000,300,,100.006,44,695000,240,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
15000,68,,32.91,50%-60%,515000,300,55-64,White,Joint,Not Hispanic or Latino,3,0
255000,226,,113.897,50%-60%,445000,300,45-54,White,Joint,Not Hispanic or Latino,3,0
105000,65,,47.514,>60%,695000,360,65-74,White,Male,Hispanic or Latino,3,0
65000,43,,,>60%,,300,55-64,White,Female,Hispanic or Latino,3,0
